ingredient,measurement,name,unit
Bourbon whiskey,2.5,1626,oz
Gingerbread liqueur,0.75,1626,oz
Cherry-flavored brandy,0.5,1626,oz
Angostura bitters,2,1626,oz
Italian preserved cherry,1,1626,oz
Bourbon whiskey,1.5,19th Century,oz
Lemon juice,0.75,19th Century,oz
White creme de cacao,0.75,19th Century,oz
Lillet rouge,0.75,19th Century,oz
Applejack,1.5,A. J.,oz
Grapefruit juice,1,A. J.,oz
Absinthe,1.5,Absinthe Cocktail,oz
Old mr. boston anisette,1.5,Absinthe Cocktail,oz
Orange bitters,1,Absinthe Cocktail,oz
Anis,1.5,Absinthe Drip Cocktail,oz
Sugar,1,Absinthe Drip Cocktail,oz
Absinthe,1.5,Absinthe Special Cocktail,oz
Simple syrup,0.25,Absinthe Special Cocktail,oz
Orange bitters,1,Absinthe Special Cocktail,oz
Irish whiskey,1.5,Academic Review,oz
Applejack,0.5,Academic Review,oz
Amaro nonino,0.5,Academic Review,oz
Rye whiskey,0.5,Academic Review,oz
Demerara syrup,0.25,Academic Review,oz
Mole bitters,2,Academic Review,oz
Light rum,1.5,Acapulco,oz
Lime juice,1,Acapulco,oz
Triple sec,1.5,Acapulco,oz
Sugar,1,Acapulco,oz
Egg white,1,Acapulco,units
Forbidden fruit,1,Adam and Eve,oz
Gin,1,Adam and Eve,oz
Brandy,1,Adam and Eve,oz
Lemon juice,1,Adam and Eve,oz
Straight rye whiskey,2,Adderly Cocktail,oz
Maraschino liqueur,0.75,Adderly Cocktail,oz
Orange bitters,2,Adderly Cocktail,oz
Lemon juice,0.75,Adderly Cocktail,oz
Pear-flavored vodka,2,Admiral Perry,oz
Cinnamon schnapps,1,Admiral Perry,oz
Dry vermouth,1,Admiral Perry,oz
White creme de cacao,1,Admiral Perry,oz
Thin pear slice,1,Admiral Perry,units
Straight rye whiskey,2,Affinity Cocktail,oz
Maraschino liqueur,0.75,Affinity Cocktail,oz
Lemon juice,0.75,Affinity Cocktail,oz
Orange bitters,2,Affinity Cocktail,oz
Blended scotch whiskey,1,Affinity Cocktail (whisky),oz
Dry vermouth,1,Affinity Cocktail (whisky),oz
Sweet vermouth,1,Affinity Cocktail (whisky),oz
Orange bitters,3,Affinity Cocktail (whisky),oz
Apricot flavored brandy,1,After Dinner Cocktail,oz
Triple sec,1,After Dinner Cocktail,oz
Lime juice,1,After Dinner Cocktail,oz
Apricot flavored brandy,1,After Supper Cocktail,oz
Triple sec,1,After Supper Cocktail,oz
Lemon juice,0.5,After Supper Cocktail,oz
Straight rye whiskey,1.5,Akogare,oz
Ginger syrup,0.75,Akogare,oz
Cold brewed black tea,0.75,Akogare,oz
Preferably japanese,0.75,Akogare,oz
Lemon juice,0.75,Akogare,oz
Blanco tequila,1.5,Alamo Splash,oz
Orange juice,1,Alamo Splash,oz
Pineapple juice,0.5,Alamo Splash,oz
Lemon-lime soda,2,Alamo Splash,oz
Gin,1,Alexander Cocktail No. 1,oz
Creme de cacao (white),1,Alexander Cocktail No. 1,oz
Light cream,1,Alexander Cocktail No. 1,oz
Creme de cacao (white),1,Alexander Cocktail No. 2,oz
Brandy,1,Alexander Cocktail No. 2,oz
